B,151.0,301.0
B,153.0,251.0
B,5.0,470.0
B,58.0,470.0
B,113.0,470.0
B,167.0,470.0
B,220.0,470.0
B,273.0,470.0
B,326.0,470.0
B,380.0,470.0
B,434.0,470.0
B,489.0,470.0
B,543.0,470.0
B,595.0,470.0
B,651.0,470.0
B,704.0,470.0
B,757.0,470.0
B,811.0,470.0
B,864.0,470.0
B,917.0,470.0
B,968.0,470.0
B,1021.0,470.0
B,1074.0,470.0
B,1129.0,469.0
B,327.0,418.0
B,380.0,368.0
B,434.0,322.0
B,311.0,278.0
B,153.0,199.0
B,263.0,278.0
B,560.0,260.0
B,561.0,207.0
B,657.0,324.0
B,863.0,418.0
B,911.0,371.0
B,965.0,351.0
S,114.0,420.0
S,275.0,418.0
S,262.0,227.0
S,541.0,205.0
S,538.0,257.0
S,595.0,418.0
S,707.0,421.0
S,686.0,319.0
P,401.0,448.0
